Name,Platform,MSRP,Buy Digital,Buy Physical,Demo Available,DLC Available,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Arcade,Board Game,Camera,Casual,Communication,Creature Creator,Dance,Education,Edutainment,Fighting,First-Person,Fishing Game,Fitness,Gambling,Hidden Object,Interactive Theme Park,Lifestyle,Mental Training,Multiplayer,Music,Other,Party,Platformer,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Trivia,Undefined,Store Link,Official Site,Time Data Retrieved (UTC)
Super Ping Pong Trick Shot,Nintendo Switch,$4.99,True,,,,Starsign,Sims,Everyone,"Oct 19, 2017",up to 2 players,255 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,https://www.nintendo.com/games/detail/super-ping-pong-trick-shot-switch,http://www.starsign.co.jp/item_switch_sppts_eng.html,2019-05-15 08:12:49
Super One More Jump,Nintendo Switch,$7.00,True,,True,,SMG Studio,SMG Studio / Premo Games,Everyone,"Jan 25, 2018",up to 4 players,125 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-one-more-jump-switch,http://www.onemorejump.com/,2019-05-15 08:12:49
Super Meat Boy,Nintendo Switch,$14.00,True,,,,Blitworks,Team Meat,Teen,"Jan 11, 2018",up to 2 players,218 MB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-meat-boy-switch,,2019-05-15 08:12:49
Super Inefficient Golf,Nintendo Switch,$7.99,True,,,,34BigThings,,Everyone,"Sep 07, 2018",1 player,509 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,https://www.nintendo.com/games/detail/super-inefficient-golf-switch,,2019-05-15 08:12:49
Super Dungeon Tactics,Nintendo Switch,$19.99,True,,,,Underbite Games,Underbite Games,Everyone 10+,"Sep 13, 2018",1 player,1.8 GB,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,https://www.nintendo.com/games/detail/super-dungeon-tactics-switch,,2019-05-15 08:12:50
Super Destronaut DX,Nintendo Switch,$4.99,True,,,,Ratalaika Games,Petite Games,Everyone,"Jul 13, 2018",up to 2 players,140 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/super-destronaut-dx-switch,,2019-05-15 08:12:50
Super Daryl Deluxe,Nintendo Switch,$19.99,True,,,,Dan & Gary Games,Dan & Gary Games,Teen,"Apr 10, 2018",1 player,5.7 GB,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/super-daryl-deluxe-switch,,2019-05-15 08:12:50
Super Chariot,Nintendo Switch,$19.99,True,,True,,Microids,Microids,Everyone,"May 10, 2018",up to 2 players,695 MB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-chariot-switch,,2019-05-15 08:12:50
Super Bomberman R,Nintendo Switch,$49.99,True,True,,,Konami,Konami,Everyone 10+,"Mar 03, 2017",up to 8 players,3.8 GB,True,True,,True,,,,,,,,,,,,,,,,,,,,,True,,,True,,True,,,,,,,,,https://www.nintendo.com/games/detail/super-bomberman-r-switch,https://www.konami.com/games/bomberman/r/us/en/,2019-05-15 08:12:51
Super Blackjack Battle 2 Turbo Edition - The Card Warriors,Nintendo Switch,$7.99,True,,,,Headup Games,Stage Clear Studios,Teen,"Aug 07, 2018",up to 4 players,980 MB,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/super-blackjack-battle-2-turbo-edition-the-card-warriors-switch,,2019-05-15 08:12:51
Super Beat Sports™,Nintendo Switch,$14.99,True,,,,Harmonix,"Harmonix Music Systems, Inc.",Everyone,"Nov 02, 2017",up to 4 players,2.0 GB,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,,,True,,,,https://www.nintendo.com/games/detail/super-beat-sports-switch,http://www.superbeatsports.com/,2019-05-15 08:12:51
Sumer,Nintendo Switch,$14.99,True,,,,Studio Wumpus,Studio Wumpus,Everyone,"Apr 05, 2018",up to 4 players,440 MB,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,True,,,https://www.nintendo.com/games/detail/sumer-switch,http://www.sumergame.com/,2019-05-15 08:12:52
Suicide Guy,Nintendo Switch,$7.99,True,,,,Chubby Pixel,,Teen,"May 10, 2018",1 player,3.6 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/suicide-guy-switch,,2019-05-15 08:12:52
Subsurface Circular,Nintendo Switch,$5.99,True,,,,Ant Workshop,,Everyone 10+,"Mar 01, 2018",1 player,546 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/subsurface-circular-switch,,2019-05-15 08:12:52
SubaraCity,Nintendo Switch,$5.00,True,,,,Flyhigh Works,,Everyone,"Aug 09, 2018",1 player,256 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/subaracity-switch,,2019-05-15 08:12:52
STRIKERS1945 II for Nintendo Switch,Nintendo Switch,$7.99,True,,,,Zerodiv,,Everyone,"Jan 25, 2018",up to 2 players,127 MB,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/strikers1945-2-for-nintendo-switch,,2019-05-15 08:12:53
STRIKERS1945 for Nintendo Switch,Nintendo Switch,$7.99,True,,,,Zerodiv,Zerodiv Inc.,Everyone,"Aug 03, 2017",up to 2 players,98 MB,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/strikers1945-for-nintendo-switch,,2019-05-15 08:12:53
Streets of Red - Devil's Dare Deluxe,Nintendo Switch,$8.99,True,,,,Secret Base,Secret Base Pte Ltd,Teen,"Apr 12, 2018",up to 4 players,1001 MB,,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/streets-of-red-devils-dare-deluxe-switch,http://www.streetsofred.com/,2019-05-15 08:12:53
Street Fighter 30th Anniversary Collection,Nintendo Switch,$39.99,True,True,,,Capcom,Digital Eclipse,Teen,"May 29, 2018",up to 8 players,5.0 GB,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/street-fighter-30th-anniversary-collection-switch,,2019-05-15 08:12:53
Stikbold! A Dodgeball Adventure DELUXE,Nintendo Switch,,True,,True,,Reign Bros,Game Swing,Everyone,"Jan 04, 2018",up to 6 players,1.0 GB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,https://www.nintendo.com/games/detail/stikbold-a-dodgeball-adventure-deluxe-switch,,2019-05-15 08:12:54
Stick It to The Man,Nintendo Switch,$11.99,True,,,,Zoink Games,Zoink Games,Teen,"Nov 23, 2017",1 player,864 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/stick-it-to-the-man-switch,,2019-05-15 08:12:54
